,day,t,rh,ws,wd,r
0,2016-01-08 00:00:00,2.5975,87.0,2.0,2.0,0.0
1,2016-01-08 01:00:00,2.121667,81.0,2.0,5.0,0.0
2,2016-01-08 02:00:00,1.225833,93.0,2.0,2.0,0.0
3,2016-01-08 03:00:00,0.6658334,93.0,1.5,7.0,0.0
4,2016-01-08 04:00:00,0.8083333,93.0,2.0,6.0,0.0
5,2016-01-08 05:00:00,0.3066667,96.5,1.5,8.0,0.0
6,2016-01-08 06:00:00,0.5708333,96.5,2.0,4.0,0.0
7,2016-01-08 07:00:00,0.825,100.0,2.0,4.0,0.0
8,2016-01-08 08:00:00,1.324167,93.0,1.5,6.0,0.0
9,2016-01-08 09:00:00,2.054167,93.0,1.5,9.0,0.0
10,2016-01-08 10:00:00,2.799167,90.0,1.0,8.0,0.0
11,2016-01-08 11:00:00,3.418333,90.0,1.5,5.0,0.0
12,2016-01-08 12:00:00,5.355,81.5,2.0,1.0,0.0
13,2016-01-08 13:00:00,6.878334,71.0,1.0,9.0,0.0
14,2016-01-08 14:00:00,8.474167,73.5,1.0,9.0,0.0
15,2016-01-08 15:00:00,8.126667,78.5,2.0,1.0,0.0
16,2016-01-08 16:00:00,7.67,78.5,2.5,1.0,0.0
17,2016-01-08 17:00:00,7.338333,81.0,2.5,1.0,0.0
18,2016-01-08 18:00:00,6.960834,84.0,1.5,6.0,0.0
19,2016-01-08 19:00:00,6.8575,81.0,2.0,3.0,0.0
20,2016-01-08 20:00:00,6.614167,81.0,1.5,3.0,0.0
21,2016-01-08 21:00:00,6.531667,81.0,2.0,3.0,0.0
22,2016-01-08 22:00:00,6.266667,81.0,3.0,1.0,0.0
23,2016-01-08 23:00:00,6.420339,81.0,2.0,2.0,0.0
24,2016-01-09 00:00:00,6.073333,84.0,2.0,3.0,0.0
25,2016-01-09 01:00:00,5.248333,93.0,2.0,3.0,0.0
26,2016-01-09 02:00:00,5.06,93.0,1.0,6.0,0.0
27,2016-01-09 03:00:00,4.9725,93.0,1.5,6.0,0.0
28,2016-01-09 04:00:00,4.6775,93.0,1.0,9.0,0.0
29,2016-01-09 05:00:00,4.713333,93.0,1.0,9.0,0.0
30,2016-01-09 06:00:00,4.934166,96.5,1.5,6.0,0.0
31,2016-01-09 07:00:00,5.096667,100.0,1.0,9.0,1.0
32,2016-01-09 08:00:00,5.379167,100.0,1.0,9.0,0.0
33,2016-01-09 09:00:00,5.46,93.0,2.0,2.0,0.0
34,2016-01-09 10:00:00,5.716667,100.0,1.0,9.0,0.0
35,2016-01-09 11:00:00,5.7875,100.0,1.0,9.0,1.0
36,2016-01-09 12:00:00,6.050833,100.0,1.0,9.0,1.0
37,2016-01-09 13:00:00,6.1225,96.5,1.0,9.0,1.0
38,2016-01-09 14:00:00,6.18,93.0,1.0,9.0,1.0
39,2016-01-09 15:00:00,6.1575,93.0,1.0,9.0,1.0
40,2016-01-09 16:00:00,6.020833,100.0,1.0,9.0,0.0
41,2016-01-09 17:00:00,5.9925,96.5,1.0,9.0,0.0
42,2016-01-09 18:00:00,6.05,93.0,1.0,4.0,0.0
43,2016-01-09 19:00:00,5.979167,93.0,2.0,8.0,1.0
44,2016-01-09 20:00:00,5.985,100.0,1.0,9.0,2.0
45,2016-01-09 21:00:00,5.960834,100.0,1.0,9.0,2.0
46,2016-01-09 22:00:00,5.9125,100.0,1.0,9.0,2.0
47,2016-01-09 23:00:00,5.879661,100.0,2.0,3.0,1.0
48,2016-01-10 00:00:00,5.66,100.0,2.0,3.0,0.0
49,2016-01-10 01:00:00,5.76,100.0,1.0,3.0,0.0
50,2016-01-10 02:00:00,5.761667,93.0,2.0,2.0,0.0
51,2016-01-10 03:00:00,5.886667,100.0,2.0,1.0,0.0
52,2016-01-10 04:00:00,5.903333,100.0,3.0,1.0,0.0
53,2016-01-10 05:00:00,5.87,93.0,4.0,3.0,0.0
54,2016-01-10 06:00:00,6.155,96.5,4.0,2.0,0.0
55,2016-01-10 07:00:00,6.02,96.5,3.5,6.0,0.0
56,2016-01-10 08:00:00,5.430833,100.0,2.0,8.0,0.0
57,2016-01-10 09:00:00,5.089167,100.0,1.5,8.0,0.0
58,2016-01-10 10:00:00,5.585834,100.0,1.0,9.0,0.0
59,2016-01-10 11:00:00,6.06,100.0,2.0,7.0,0.0
60,2016-01-10 12:00:00,6.095,100.0,1.0,9.0,0.0
61,2016-01-10 13:00:00,6.7375,100.0,2.0,7.0,0.0
62,2016-01-10 14:00:00,7.135833,100.0,2.0,7.0,0.0
63,2016-01-10 15:00:00,7.394166,93.0,1.5,8.0,0.0
64,2016-01-10 16:00:00,7.49,93.0,4.0,7.0,0.0
65,2016-01-10 17:00:00,7.320833,93.0,4.0,7.0,0.0
66,2016-01-10 18:00:00,7.360833,93.0,1.0,9.0,0.0
67,2016-01-10 19:00:00,7.3775,100.0,2.0,7.0,0.0
68,2016-01-10 20:00:00,7.69,100.0,1.0,9.0,0.0
69,2016-01-10 21:00:00,7.640833,93.0,1.0,9.0,0.0
70,2016-01-10 22:00:00,7.561666,100.0,1.0,9.0,0.0
71,2016-01-10 23:00:00,7.483051,96.5,1.5,7.0,0.0
72,2016-01-11 00:00:00,7.364167,96.5,1.5,2.0,0.0
73,2016-01-11 01:00:00,7.066667,100.0,1.0,3.0,0.0
74,2016-01-11 02:00:00,7.005,100.0,2.0,5.0,0.0
75,2016-01-11 03:00:00,6.9875,100.0,1.5,6.0,0.0
76,2016-01-11 04:00:00,6.935833,100.0,2.0,7.0,0.0
77,2016-01-11 05:00:00,7.218333,100.0,2.0,7.0,0.0
78,2016-01-11 06:00:00,7.545833,93.0,1.5,6.0,0.0
79,2016-01-11 07:00:00,7.936666,93.0,2.0,6.0,0.0
80,2016-01-11 08:00:00,8.423333,90.0,2.5,7.0,0.0
81,2016-01-11 09:00:00,9.0425,94.0,3.0,7.0,0.0
82,2016-01-11 10:00:00,10.25417,88.0,3.0,7.0,0.0
83,2016-01-11 11:00:00,10.76333,82.0,3.0,7.0,0.0
84,2016-01-11 12:00:00,10.6275,85.0,3.0,7.0,0.0
85,2016-01-11 13:00:00,10.7075,94.0,3.0,7.0,1.0
86,2016-01-11 14:00:00,10.71333,94.0,2.0,8.0,0.0
87,2016-01-11 15:00:00,10.93167,97.0,1.5,6.0,0.0
88,2016-01-11 16:00:00,10.85083,94.0,3.0,2.0,0.0
89,2016-01-11 17:00:00,10.46667,100.0,2.5,1.0,0.0
90,2016-01-11 18:00:00,9.724167,100.0,4.5,1.0,0.0
91,2016-01-11 19:00:00,8.85,100.0,3.0,1.0,0.0
92,2016-01-11 20:00:00,7.86,96.5,4.0,2.0,0.0
93,2016-01-11 21:00:00,7.326667,96.5,7.5,3.0,0.0
94,2016-01-11 22:00:00,7.245833,100.0,5.0,2.0,0.0
95,2016-01-11 23:00:00,7.722881,93.0,5.0,3.0,0.0
96,2016-01-12 00:00:00,7.299167,93.0,6.0,2.0,0.0
97,2016-01-12 01:00:00,7.335834,93.0,2.0,1.0,0.0
98,2016-01-12 02:00:00,6.733333,93.0,2.5,4.0,0.0
99,2016-01-12 03:00:00,5.548333,93.0,4.0,1.0,0.0
100,2016-01-12 04:00:00,6.634167,90.0,3.0,2.0,0.0
101,2016-01-12 05:00:00,6.399167,84.0,5.5,3.0,0.0
102,2016-01-12 06:00:00,6.070833,87.0,4.5,3.0,0.0
103,2016-01-12 07:00:00,5.7575,100.0,2.0,7.0,0.0
104,2016-01-12 08:00:00,5.175833,90.0,1.5,5.0,0.0
105,2016-01-12 09:00:00,6.164166,79.0,4.0,2.0,0.0
106,2016-01-12 10:00:00,8.798333,62.0,5.5,3.0,0.0
107,2016-01-12 11:00:00,10.76083,54.0,9.0,3.0,0.0
108,2016-01-12 12:00:00,11.45417,58.0,10.0,3.0,0.0
109,2016-01-12 13:00:00,11.8025,60.0,9.0,3.0,0.0
110,2016-01-12 14:00:00,12.74667,58.0,10.0,3.0,0.0
111,2016-01-12 15:00:00,12.70417,58.0,9.5,3.0,0.0
112,2016-01-12 16:00:00,11.64667,58.0,8.0,3.0,0.0
113,2016-01-12 17:00:00,10.82083,58.0,5.0,3.0,0.0
114,2016-01-12 18:00:00,10.09583,58.0,5.5,3.0,0.0
115,2016-01-12 19:00:00,8.969167,64.0,5.0,3.0,0.0
116,2016-01-12 20:00:00,7.234167,87.0,2.0,6.0,0.0
117,2016-01-12 21:00:00,5.875,84.0,1.0,9.0,0.0
118,2016-01-12 22:00:00,5.760833,93.0,2.0,7.0,0.0
119,2016-01-12 23:00:00,5.633051,90.0,2.0,7.0,0.0
120,2016-01-13 00:00:00,5.176667,93.0,1.5,6.0,0.0
121,2016-01-13 01:00:00,5.280833,93.0,2.0,5.0,0.0
122,2016-01-13 02:00:00,4.456666,96.5,2.0,3.0,0.0
123,2016-01-13 03:00:00,3.904167,93.0,3.0,3.0,0.0
124,2016-01-13 04:00:00,3.259167,93.0,2.0,3.0,0.0
125,2016-01-13 05:00:00,3.21,93.0,2.5,3.0,0.0
126,2016-01-13 06:00:00,2.7875,87.0,3.0,2.0,0.0
127,2016-01-13 07:00:00,2.785,87.0,4.0,2.0,0.0
128,2016-01-13 08:00:00,2.424167,84.0,5.0,2.0,0.0
129,2016-01-13 09:00:00,3.706667,81.5,3.0,2.0,0.0
130,2016-01-13 10:00:00,5.913333,73.5,4.5,3.0,0.0
131,2016-01-13 11:00:00,9.320834,52.5,7.0,3.0,0.0
132,2016-01-13 12:00:00,10.91083,41.0,9.0,3.0,0.0
133,2016-01-13 13:00:00,11.6675,35.0,11.0,3.0,0.0
134,2016-01-13 14:00:00,12.56417,38.0,8.5,3.0,0.0
135,2016-01-13 15:00:00,12.60333,36.5,8.0,3.0,0.0
136,2016-01-13 16:00:00,11.46167,39.0,7.0,3.0,0.0
137,2016-01-13 17:00:00,10.12333,43.0,5.5,3.0,0.0
138,2016-01-13 18:00:00,9.270834,53.0,1.5,5.0,0.0
139,2016-01-13 19:00:00,7.651667,57.0,1.5,5.0,0.0
140,2016-01-13 20:00:00,6.5975,55.0,1.5,6.0,0.0
