speed,ec,temp,do,voltage,m0_current,m1_current,heading,acceleration,latitude,longitude,experiment
-1.2226501846,-1.6654694864,-0.344503805,-0.246501943,1.6623078615,-0.4455161515,-0.4022120764,0.1498503515,-0.0061747501,42.0293361082,2.2536368034,ESP2
-1.2248472732,-1.6654694864,-0.344503805,-0.27737633,1.6623078615,-0.4455161515,-0.4022120764,0.5053148643,-0.0045483024,42.0293361016,2.2536367981,ESP2
-1.2264687805,-1.6654694864,-0.344503805,-0.308250717,1.6623078615,-0.4455161515,-0.4022120764,0.7103328961,-0.0008281067,42.0293360992,2.2536367902,ESP2
-1.2267737527,-1.6654694864,-0.344503805,-0.3391251039,1.6623078615,-0.4455161515,-0.4022120764,1.111550535,-0.0002272921,42.0293360989,2.2536367821,ESP2
-1.2268661034,-1.6654694864,-0.344503805,-0.3699994909,1.6456813145,-0.4455161515,-0.4022120764,1.2484741538,0.002703955,42.0293361051,2.2536367717,ESP2
-1.2259211191,-1.6654694864,-0.344503805,-0.3585645328,1.6456813145,-0.4455161515,-0.4022120764,1.5526094811,0.0025765095,42.029336116,2.2536367604,ESP2
-1.2250212362,-1.6654694864,-0.344503805,-0.3471295746,1.6623078615,-0.4455161515,-0.4022120764,1.6095113154,0.0016843908,42.029336132,2.2536367579,ESP2
-1.2244370641,-1.6654694864,-0.344503805,-0.3356946165,1.6456813145,-0.4455161515,-0.4022120764,-1.6526150364,-0.0014349902,42.029336146,2.2536367575,ESP2
-1.2249568055,-1.6654694864,-0.344503805,-0.3339793728,1.6623078615,-0.4455161515,-0.4022120764,-1.6049447183,-0.0019022905,42.0293361558,2.2536367647,ESP2
-1.2256419192,-1.6654694864,-0.344503805,-0.332264129,1.6623078615,-0.4455161515,-0.4022120764,1.1603184551,-0.0052158742,42.0293361585,2.2536367672,ESP2
-1.2274996725,-1.6654694864,-0.344503805,-0.3305488853,1.6456813145,-0.4455161515,-0.4022120764,1.1911338506,2.1369371063,42.0293383405,2.2536336715,ESP2
-0.4712737948,-1.6654694864,-0.344503805,-0.3288336416,1.6456813145,-0.4455161515,-0.4022120764,-1.5569553491,-0.3701470395,42.0293402456,2.2536312475,ESP2
-0.6022765464,-1.6654694864,-0.344503805,-0.3288336416,1.6623078615,-0.4455161515,-0.4022120764,-1.4818847005,-0.6203044039,42.0293415804,2.2536326695,ESP2
-0.8218071505,-1.6654694864,-0.344503805,-0.3288336416,1.6623078615,-0.4455161515,-0.4022120764,-1.0356853804,1.0146699958,42.0293438089,2.2536357717,ESP2
-0.4627388679,-1.6654694864,-0.344503805,-0.3288336416,1.6456813145,-0.4455161515,-0.4022120764,1.0129522564,-0.7104872869,42.0293437661,2.2536386693,ESP2
-0.7141841709,-1.6654694864,-0.344503805,-0.3494165662,1.6456813145,-0.4455161515,-0.4022120764,0.7894233513,-0.958599454,42.0293441164,2.2536378037,ESP2
-1.0534335543,-1.6654694864,-0.344503805,-0.3699994909,1.6456813145,-0.4455161515,-0.4022120764,0.6352059755,0.5973708562,42.0293442838,2.253635638,ESP2
-0.8420427018,-1.6654694864,-0.344503805,-0.3905824155,1.6456813145,-0.4455161515,-0.4022120764,0.4886978346,-0.1077488356,42.0293440388,2.2536337035,ESP2
-0.8801857067,-1.6654694864,-0.344503805,-0.4111653402,1.6623078615,-0.4455161515,-0.4022120764,1.1892558026,-0.3883171305,42.0293436729,2.2536326229,ESP2
-1.0176186473,-1.6654694864,-0.344503805,-0.3905824155,1.6623078615,-0.4455161515,-0.4022120764,0.3947661892,-0.1735228656,42.0293441257,2.2536320429,ESP2
-1.079038335,-1.6654694864,-0.344503805,-0.3699994909,1.6623078615,-0.4455161515,-0.4022120764,0.5228334327,-0.0051005663,42.0293437803,2.253631354,ESP2
-1.0808552821,-1.6654694864,-0.344503805,-0.3494165662,1.6456813145,-0.4455161515,-0.4022120764,1.4854951963,-0.0698125502,42.0293435957,2.2536307084,ESP2
-1.1055730661,-1.6654694864,-0.344503805,-0.363138516,1.6290547675,-0.4455161515,-0.4022120764,-1.7172920751,0.5269238235,42.0293448542,2.2536302992,ESP2
-0.919112619,-1.6654694864,-0.344503805,-0.3768604658,1.6789344085,-0.4455161515,-0.4022120764,-1.8691782979,-0.2645189724,42.0293456904,2.2536307568,ESP2
-1.0127347963,-1.6654694864,-0.344503805,-0.3905824155,1.6623078615,-0.4455161515,-0.4022120764,1.2149850852,-0.0087357983,42.0293465738,2.2536308974,ESP2
-1.0158382108,-1.6654694864,-0.344503805,-0.4043043653,1.6456813145,-0.4455161515,-0.4022120764,0.282277988,-0.1214401266,42.0293471097,2.2536302711,ESP2
