          0         1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19         20        21        22         23         24        25        26
0   0.723038  0.899748  3.786455  4.107108  1.294160  0.606927  2.512370  1.249153  1.485579  0.903516  0.012517  3.306667  1.395543  1.004791  0.684068  1.126008  1.082744  1.191452  0.754554  1.278024   0.057935  3.563195  4.742276   7.246127   6.760306  1.823437  1.116470
1   0.000020  1.321926  0.000442  0.000083  0.000041  0.000018  0.000111  0.000672  0.000138  1.331571  0.000001  1.207208  0.542564  0.000031  0.000022  0.000013  0.000012  1.052946  0.010307  0.000039   0.000001  0.949482  0.023898   0.000016   0.000015  2.384020  0.000034
2   0.717191  0.847756  0.000001  0.000001  0.962097  0.659657  1.416409  0.000001  0.000001  0.854169  0.011010  1.365230  1.504576  0.982432  0.824836  0.000001  0.000001  1.052187  0.005650  0.976808   0.019251  1.131462  0.027347   0.000001   0.000001  2.373681  0.804383
3   0.397751  0.987905  0.322827  0.641812  1.641845  0.343238  0.671502  0.428752  0.605773  0.986742  0.174419  0.331624  0.795134  0.169373  0.446924  0.859225  0.404564  0.024569  0.582697  1.560423   0.575742  0.680807  4.323059   0.227589   0.731142  0.040800  1.933875
4   0.564243  1.142424  0.657419  0.841720  3.536653  0.431832  0.944337  1.048133  1.397611  1.137525  0.011318  1.199639  1.379551  0.375823  1.010799  0.096106  0.110863  0.023791  0.366917  3.644472   0.054107  1.591664  1.443230   0.072331   0.068197  0.034036  4.489257
5   0.801227  0.116678  0.000254  0.000075  1.653582  0.847180  1.567181  0.019795  0.028967  0.123788  6.928770  8.001375  2.231207  0.967839  0.356101  0.199435  0.166241  0.965634  0.955152  0.892522   8.831919  3.006099  0.047245   0.000037   0.000027  2.485109  0.867374
6   0.878476  1.080838  0.778455  1.105009  4.010583  0.442346  3.418776  1.142533  1.521278  1.099138  0.022816  0.872885  0.774729  1.364773  0.828535  1.352011  2.068050  1.562008  1.111651  4.102638   0.110021  1.335703  2.893011   0.146934   0.145152  0.339435  3.723927
7   0.550499  1.629689  0.000427  0.000226  0.577107  0.546499  1.111626  0.000609  0.000360  1.642442  8.085090  2.018688  1.024263  0.783013  0.537698  0.000031  0.000023  1.071253  0.010646  0.682381   0.633663  1.754073  0.033304   0.000095   0.000084  2.093910  0.571782
8   1.291801  1.749374  0.125619  0.143571  1.503758  1.153967  1.395942  0.221519  0.296701  1.782136  8.951662  0.322518  0.708191  0.694245  0.702756  0.885022  0.873622  0.500016  2.329856  0.934142  11.938981  1.302682  0.978441   1.048827   0.883880  2.913339  1.212530
9   0.079123  0.149381  0.012834  0.015173  0.220539  0.069279  0.105750  0.008991  0.012262  0.149888  0.012992  0.255338  0.637233  0.056275  0.108231  0.010337  0.009749  1.053390  0.035438  0.220371   0.080621  0.557381  0.068814   0.033658   0.032341  0.038039  0.250464
10  0.067646  0.131878  0.008453  0.009993  0.085214  0.067098  0.063630  0.004389  0.005985  0.132343  0.011097  0.396875  0.000001  0.018538  0.033160  0.007988  0.007533  0.002492  0.036306  0.086610   0.071476  0.598774  0.072594   0.027815   0.026727  0.020326  0.086547
11  0.919635  1.254215  0.000523  0.000200  1.436110  0.772691  2.058986  0.235452  0.235872  1.248797  0.015550  0.569360  3.718817  1.197016  0.635169  1.042366  0.920243  1.062469  1.366932  1.429641   0.051991  0.812593  0.044810   0.000165   0.000105  1.167621  1.318668
12  1.119032  1.486248  3.752755  4.214289  1.572488  0.963664  2.934138  2.119062  3.451937  1.460848  5.702810  0.573429  5.618206  1.005072  0.488457  2.597726  1.834210  0.922986  2.217100  1.766086   2.026091  0.873303  7.287988   6.341289   4.225223  4.730102  1.081141
13  1.015519  1.009503  4.602717  5.568847  2.973575  0.652500  3.499977  2.012252  2.246092  0.967790  0.012797  0.701176  0.745935  1.053040  0.605477  1.662034  1.729852  1.011382  1.292233  2.855902   0.067332  1.017416  7.398657  11.052837  11.931900  0.598868  2.505528
14  0.828174  1.131314  1.026419  0.746526  2.424574  0.673766  2.350316  0.805964  0.552979  1.124257  0.011172  0.531962  1.643370  0.749779  0.928966  0.466006  0.288794  0.066898  0.522681  2.447093   0.048524  0.565902  1.148701   1.823752   1.212450  0.091292  2.686344
15  0.306033  0.242562  0.020583  0.024334  2.909968  0.206573  0.813684  0.008685  0.011844  0.242870  0.027663  0.288974  0.365419  0.336557  0.807493  0.022706  0.021415  0.005463  0.033132  2.964086   0.068539  0.465228  0.407682   0.061630   0.059219  0.005855  3.796101
16  0.549369  0.949371  0.007667  0.008511  0.447542  0.551589  0.611983  0.028364  0.070963  0.952918  0.009628  0.229109  0.631854  0.366334  0.481900  0.462543  0.179377  0.031221  0.052661  0.194448   0.030828  0.259241  0.128516   0.122852   0.101479  0.057050  0.239192
17  0.043389  0.052131  0.010351  0.015634  0.084347  0.037624  0.059099  0.008585  0.015787  0.052410  0.011821  0.385828  0.204193  0.018423  0.031317  0.005784  0.007331  0.001305  0.019415  0.093708   0.065719  0.531255  0.021191   0.011352   0.011627  0.014248  0.084510
18  0.489858  0.142102  0.300764  0.373604  1.323737  0.470470  0.933312  0.398084  0.543786  0.142914  0.015541  2.806799  0.434802  0.599311  0.716685  0.658360  0.691053  1.546035  0.382714  1.317224   0.080765  2.250223  0.636343   0.769099   0.739064  0.301297  1.269748
19  0.559517  0.015733  1.675110  2.358491  0.965856  0.438526  2.639749  2.602380  4.211316  0.016182  0.069532  0.604800  0.248222  1.436679  0.461967  0.016862  0.011003  0.607588  0.023874  0.992209   0.075428  1.648865  0.002321   0.001269   0.000757  2.150510  0.715531
