           0         1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23            24        25        26
12        NaN       NaN -0.445516       NaN       NaN       NaN       NaN -0.605744       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN -0.094676  0.006114       NaN           NaN       NaN  0.932905
26   1.448269 -1.651917  3.018489  2.215214       NaN  1.469673       NaN  2.562679  2.394526 -1.776528       NaN -0.283633 -0.494053  0.596955  0.834503  0.239055  0.273502 -0.574970  1.941443       NaN       NaN       NaN  0.006114       NaN           NaN       NaN  0.014229
35   0.842259       NaN       NaN       NaN       NaN  0.909436       NaN  0.718595       NaN -0.461839       NaN       NaN -0.494053  1.639562  1.116319  1.759565  2.182162       NaN  1.413563       NaN       NaN       NaN  0.006114       NaN  7.232597e-07  0.009442 -0.002228
39   1.010509       NaN  0.286428       NaN  0.000058  1.482548       NaN       NaN  0.491218       NaN       NaN -0.488223       NaN  0.575261  0.303758 -0.342993       NaN -0.735401       NaN -1.119302       NaN -0.124847  0.006114       NaN  7.232597e-07  0.010216  0.580171
49        NaN       NaN       NaN       NaN       NaN       NaN  1.584944  0.446680       NaN       NaN       NaN       NaN  1.309197       NaN       NaN       NaN       NaN       NaN  0.873129       NaN       NaN       NaN  0.314744       NaN           NaN       NaN       NaN
58        NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN -0.535205       NaN       NaN -0.032143 -0.494053       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN           NaN       NaN       NaN
68        NaN       NaN -0.445516 -0.402212 -0.007941       NaN -2.921362       NaN -0.535205       NaN       NaN       NaN  0.024107       NaN  0.895879 -0.540681 -0.536140       NaN -0.389984       NaN -0.002376  0.357894  0.006114  0.000008  7.232597e-07 -0.145550 -0.045444
69  -0.918928  0.825438 -0.445516 -0.402212       NaN -0.999334       NaN -0.551970 -0.535205  0.341492 -0.254981 -0.053691 -0.494053       NaN       NaN -0.540681 -0.536140  1.311558 -0.483669       NaN -0.002376       NaN       NaN       NaN  7.232597e-07 -0.014738       NaN
83  -1.225017       NaN -0.445516 -0.402212       NaN -1.304227       NaN -0.551970 -0.535205 -0.408436 -0.254981 -0.421403 -0.494053 -0.922224 -0.965849 -0.540681 -0.536140       NaN -0.554969       NaN       NaN -0.004162       NaN       NaN           NaN       NaN       NaN
91        NaN       NaN       NaN       NaN       NaN -0.167513       NaN       NaN       NaN       NaN       NaN -0.232991       NaN       NaN       NaN       NaN       NaN       NaN  2.846690       NaN -0.002376       NaN       NaN       NaN           NaN       NaN       NaN
