Parameter,Values
Dataset_Path,/home/francesco/Tirocinio/XM_v1.3.5/DATASETS/Test6/ALL_h_std_interestingVars_TICC_version.csv
Results_Path,/home/francesco/Tirocinio/XM_v1.3.5/RESULTS/INTCATCH/TICC
Number_of_columns,27
Number_of_rows,20181
Method,TICC
N.Cluster,10
Window Size,1
Lambda,0.005
Beta,150
Accuracy,NA
CE,NA
F1,NA
Entropy,NA
Purity,NA
NbClusterFound,10
Note,-
Variables,speed,voltage,m0_current,m1_current,acceleration,mean_speed,mean_acceleration,mean_m0,mean_m1,mean_volt,std_ec,std_do,std_temp,std_speed,std_acceleration,std_m0,std_m1,std_heading,std_volt,speed_d,ec_d,do_d,voltage_d,m0_current_d,m1_current_d,heading_d,acceleration_d
Silhouette total,0.0708884310762
-0.188,2348,27
0.452,6482,27
-0.187,2499,27
-0.139,1345,27
-0.042,1320,27
-0.291,569,27
-0.003,3719,27
-0.068,1156,27
-0.083,345,27
-0.152,398,27
