Parameter,Values
Dataset Path,./Barchette_Unsup_SAC/2018-12-29/INERTIAL/XM_file/DataSet_SAC.csv
Results Path,./Barchette_Unsup_SAC/2018-12-29/INERTIAL/XM_file//Model_40_70.0/
Number of columns,27
Number of rows,20181
Method,IHMM
N. Cluster,40
Covariance,NA
Accuracy,NA
CE,NA
F1,NA
Entropy,NA
Purity,NA
NbClusterFound,NA
Note,-
Variables,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Log-likelihood,-116134.01783163854
Silhouette total,-0.08941474102867794
0.04354914063074896,90,27
-0.16030984338668725,108,27
-0.07886780959862652,35,27
-0.1958005035477015,0,27
-0.019005437546625203,537,27
-0.23479788564340906,3513,27
-0.019320900550933766,521,27
0.02858100786390642,0,27
-0.21769431023984215,108,27
-0.25162238349816596,7,27
0.00453699439536611,406,27
-0.16324009998803327,0,27
-0.07334094703438714,2654,27
0.12366907994433358,0,27
-0.09891041940979528,12,27
0.016628294179329407,963,27
-0.09824955081460217,90,27
0.010663044551901361,2182,27
-0.3194461179384399,0,27
-0.2349267654008737,0,27
-0.22253778426584758,2150,27
0.19769599090947443,12,27
-0.10365745242734743,229,27
0.044509344144405806,572,27
-0.10426238904722461,1310,27
0.1475850133152936,0,27
0.23941936475175288,0,27
-0.1273763463367991,111,27
-0.23538318763424906,1730,27
0.12408416893862056,455,27
